aoi,trialnum,layout,target,stimulus,part4,fixations,x1,y1,x2,y2,x3,y3,x4,y4
14B-SOC-HAPPY-2,14,SOC,B,HAPPY,2,0,588.290000,129.650000,441.780000,128.090000,440.170000,2.130000,588.290000,-0.980000
27C-SOC-SWING,27,SOC,C,SWING,,0,446.060000,286.820000,299.550000,285.260000,297.940000,159.290000,446.060000,156.180000
17C-CORNERS-GIRL,17,CORN,C,GIRL,,0,145.210000,130.630000,-1.300000,129.070000,-2.910000,3.100000,145.210000,-0.010000
5C-CLOCK-COLD,5,CLOC,C,COLD,,0,541.690000,773.540000,395.180000,771.980000,393.570000,646.020000,541.690000,642.910000
13C-SOC-SWING,13,SOC,C,SWING,,0,446.060000,286.820000,299.550000,285.260000,297.940000,159.290000,446.060000,156.180000
18C-CLOCK-HAPPY,18,CLOC,C,HAPPY,,0,401.190000,780.850000,254.680000,779.300000,253.070000,653.330000,401.190000,650.220000
5C-CLOCK-THROWING,5,CLOC,C,THROWING,,0,556.760000,124.880000,410.250000,123.320000,408.640000,-2.640000,556.760000,-5.750000
13C-SOC-SLIDE,13,SOC,C,SLIDE,,0,447.060000,445.820000,300.550000,444.260000,298.940000,318.290000,447.060000,315.180000
11C-CLOCK-LADDER,11,CLOC,C,LADDER,,0,798.560000,643.030000,652.050000,641.480000,650.440000,515.510000,798.560000,512.400000
31C-WIDE-GIRL,31,WIDE,C,GIRL,,0,146.200000,128.240000,-0.310000,126.680000,-1.920000,0.710000,146.200000,-2.400000
26B-WIDE-SWINGING-3,26,WIDE,B,SWINGING,3,0,337.840000,736.980000,191.330000,735.430000,189.720000,609.460000,337.840000,606.350000
28B-CORNERS-BABY-1,28,CORN,B,BABY,1,0,145.710000,273.440000,-0.800000,271.880000,-2.410000,145.920000,145.710000,142.810000
1C-WIDE-ME,1,WIDE,C,ME,,0,147.050000,741.800000,0.540000,740.250000,-1.070000,614.280000,147.050000,611.170000
9B-CLOCK-SAD-2,9,CLOC,B,SAD,2,0,253.450000,771.480000,106.940000,769.930000,105.330000,643.960000,253.450000,640.850000
20B-CLOCK-CLIMBING-2,20,CLOC,B,CLIMBING,2,0,259.790000,128.640000,113.280000,127.090000,111.670000,1.120000,259.790000,-1.990000
31A-WIDE-SLIDE,31,WIDE,A,SLIDE,,26,547.290000,737.580000,400.780000,736.020000,399.170000,610.050000,547.290000,606.940000
5C-CLOCK-SWING,5,CLOC,C,SWING,,0,796.000000,511.640000,649.490000,510.090000,647.880000,384.120000,796.000000,381.010000
22C-WIDE-BABY,22,WIDE,C,BABY,,0,147.460000,331.080000,0.940000,329.520000,-0.670000,203.550000,147.460000,200.440000
5C-CLOCK-BALL,5,CLOC,C,BALL,,0,796.160000,379.990000,649.650000,378.430000,648.040000,252.470000,796.160000,249.360000
11C-CLOCK-THROWING,11,CLOC,C,THROWING,,0,556.760000,124.880000,410.250000,123.320000,408.640000,-2.640000,556.760000,-5.750000
8C-WIDE-CLIMBING,8,WIDE,C,CLIMBING,,0,341.680000,326.530000,195.170000,324.980000,193.560000,199.010000,341.680000,195.900000
20C-CLOCK-COLD,20,CLOC,C,COLD,,16,549.580000,773.380000,403.070000,771.830000,401.460000,645.860000,549.580000,642.750000
8B-WIDE-ME-1,8,WIDE,B,ME,1,25,146.350000,729.420000,-0.160000,727.860000,-1.770000,601.890000,146.350000,598.780000
23C-CORNERS-COLD,23,CORN,C,COLD,,0,740.770000,746.640000,594.260000,745.090000,592.650000,619.120000,740.770000,616.010000
20C-CLOCK-SWING,20,CLOC,C,SWING,,0,796.080000,513.980000,649.570000,512.420000,647.960000,386.450000,796.080000,383.340000
32X-WIDE-ALL,32,WIDE,X,ALL,,59,1.140000,1.140000,738.330000,1.140000,738.330000,739.300000,1.140000,739.300000
30C-CORNERS-ME,30,CORN,C,ME,,0,297.220000,128.200000,150.710000,126.640000,149.100000,0.680000,297.220000,-2.430000
23B-CORNERS-BABY-2,23,CORN,B,BABY,2,0,146.660000,271.870000,0.150000,270.310000,-1.460000,144.340000,146.660000,141.230000
4C-WIDE-GIRL,4,WIDE,C,GIRL,,0,146.200000,128.240000,-0.310000,126.680000,-1.920000,0.710000,146.200000,-2.400000
4C-WIDE-HOT,4,WIDE,C,HOT,,0,739.920000,536.560000,593.410000,535.000000,591.800000,409.040000,739.920000,405.920000
7C-CLOCK-HOT,7,CLOC,C,HOT,,0,694.810000,771.540000,548.300000,769.990000,546.690000,644.020000,694.810000,640.910000
11C-CLOCK-COLD,11,CLOC,C,COLD,,0,541.690000,773.540000,395.180000,771.980000,393.570000,646.020000,541.690000,642.910000
20B-CLOCK-SWINGING-1,20,CLOC,B,SWINGING,1,0,404.270000,125.200000,257.760000,123.650000,256.150000,-2.320000,404.270000,-5.430000
27C-SOC-CLIMBING,27,SOC,C,CLIMBING,,0,298.060000,128.820000,151.550000,127.260000,149.940000,1.290000,298.060000,-1.820000
